file_name,create_date,file_url,is_recent
海通月月财集合资产管理计划第1274期产品开放公告OTC5BL,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511718343.pdf,Yes
海通月月财集合资产管理计划第1273期产品临时开放参与公告OTC5BK,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511690570.pdf,Yes
海通月月财集合资产管理计划第1273期产品开放公告OTC5BK,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511489076.pdf,Yes
海通月月财集合资产管理计划第1272期产品临时开放参与公告OTC5YU,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511459981.pdf,Yes
海通月月财集合资产管理计划第1272期产品开放公告OTC5YU,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511430032.pdf,Yes
海通月月财集合资产管理计划第1271期产品临时开放参与公告OTC561,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511401216.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期12号产品结算公告859312,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509719221.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期11号产品结算公告859311,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509696738.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期08号产品结算公告859308,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509635640.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期05号产品结算公告859305,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509601215.pdf,Yes
海通海蓝量化增强集合资产管理计划1月期05号产品开放参与公告85910...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509487608.pdf,Yes
海通海蓝量化增强集合资产管理计划1月期05号产品结算公告859105,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509442552.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期81号产品开放参与公告85938...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509166004.pdf,Yes
海通海蓝量化增强集合资产管理计划6月期A33号产品开放参与公告859A...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509130823.pdf,Yes
海通海蓝量化增强集合资产管理计划6月期10号产品开放参与公告85961...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509095758.pdf,Yes
海通海蓝量化增强集合资产管理计划3月期B17号产品开放参与公告859B...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509051894.pdf,Yes
海通月月财集合资产管理计划第1271期产品开放公告OTC561,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511360962.pdf,Yes
海通月月财集合资产管理计划第1270期产品临时开放参与公告OTC535,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511328250.pdf,Yes
海通月月财集合资产管理计划第1270期产品临时开放参与公告OTC535,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511294995.pdf,Yes
海通月月财集合资产管理计划第1270期产品开放公告OTC535,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511271194.pdf,Yes
海通月月财集合资产管理计划第1269期产品开放公告OTC515,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511222771.pdf,Yes
海通月月财集合资产管理计划第1254期产品结算公告OTC5D2,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511191028.pdf,Yes
海通月月财集合资产管理计划第1245期产品结算公告OTC512,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511156678.pdf,Yes
海通月月财集合资产管理计划第1162期产品结算公告OTC537,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511133849.pdf,Yes
海通月月财集合资产管理计划第1101期产品结算公告OTC56L,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534511006493.pdf,Yes
海通月月财集合资产管理计划第944期产品结算公告OTC5YL,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534510976662.pdf,Yes
海通海蓝量化增强集合资产管理计划1月期42号产品开放参与公告85914...,2018-08-13,http://www.htsamc.com/upload/20180817/201808171534509004548.pdf,Yes
海通月月升集合资产管理计划第221期产品临时开放参与公告852062,2018-08-13,http://www.htsamc.com/upload/20180810/201808101533896335068.pdf,Yes
海通月月升集合资产管理计划第220期产品临时开放参与公告852036,2018-08-13,http://www.htsamc.com/upload/20180810/201808101533896157002.pdf,Yes
海通金风2号集合资产管理计划第三次收益分配公告,2018-08-10,http://www.htsamc.com/upload/20180817/201808171534504561317.pdf,Yes
海通金风1号集合资产管理计划第三次收益分配公告,2018-08-10,http://www.htsamc.com/upload/20180817/201808171534504490125.pdf,Yes
海通海蓝量化增强集合资产管理计划6月期02号产品开放参与公告85960...,2018-08-09,http://www.htsamc.com/upload/20180809/201808091533803970929.pdf,Yes
关于增加包商银行为海通投融宝1号集合资产管理计划推广机构的公告,2018-08-08,http://www.htsamc.com/upload/20180810/201808101533884279538.pdf,Yes
投融宝1号风险级份额2018年8月9日至10日特定开放参与、退出公告,2018-08-08,http://www.htsamc.com/upload/20180810/201808101533884225243.pdf,Yes
海通月月升集合资产管理计划第225期产品临时开放参与公告852038,2018-08-06,http://www.htsamc.com/upload/20180817/201808171534512727490.pdf,No
海通月月升集合资产管理计划第225期产品开放公告852038,2018-08-06,http://www.htsamc.com/upload/20180817/201808171534512702849.pdf,No
海通博衍1号集合资产管理计划005期产品结算公告,2018-08-06,http://www.htsamc.com/upload/20180806/201808061533558989037.pdf,No
海通博衍1号集合资产管理计划004期产品开放参与公告,2018-08-06,http://www.htsamc.com/upload/20180806/201808061533558958867.pdf,No
海通博衍1号集合资产管理计划004期产品结算公告,2018-08-06,http://www.htsamc.com/upload/20180806/201808061533558924503.pdf,No
海通月月升集合资产管理计划第221期产品开放公告852062,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533896313908.pdf,No
海通月月升集合资产管理计划第220期产品开放公告852036,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533896121304.pdf,No
海通月月财集合资产管理计划第1268期产品开放公告OTC5D5,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533896099162.pdf,No
海通月月财集合资产管理计划第1267期产品开放公告OTC5Y8,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533896069781.pdf,No
海通月月财集合资产管理计划第1267期产品开放公告OTC5Y8,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533896042743.pdf,No
海通月月财集合资产管理计划第1266期产品临时开放参与公告OTC56F,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533896007640.pdf,No
海通月月财集合资产管理计划第1266期产品开放公告OTC56F,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895983871.pdf,No
海通月月财集合资产管理计划第1265期产品临时开放参与公告OTC534,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895960864.pdf,No
海通月月财集合资产管理计划第1265期产品开放公告OTC534,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895934910.pdf,No
海通月月财集合资产管理计划第1264期产品开放公告OTC513,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895905576.pdf,No
海通月月财集合资产管理计划第1251期产品结算公告OTC5D1,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895814021.pdf,No
海通月月财集合资产管理计划第1251期产品结算公告OTC5D1,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895814021.pdf,No
海通月月财集合资产管理计划第1206期产品结算公告OTC524,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895792700.pdf,No
海通月月财集合资产管理计划第1156期产品结算公告OTC536,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895771896.pdf,No
海通月月财集合资产管理计划第1095期产品结算公告OTC561,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895745503.pdf,No
海通月月财集合资产管理计划第1013期产品结算公告OTC598,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895648789.pdf,No
海通赢家系列-月月赢集合资产管理计划第531期产品结算公告851916,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895550569.pdf,No
海通赢家系列-月月鑫集合资产管理计划第二百五十七次开放公告851810,2018-08-06,http://www.htsamc.com/upload/20180810/201808101533895523985.pdf,No
